business,industry,city_or_commune,public_contact_channel,first_contact_date,pipeline_status,main_problem,highest_interest_capability,plan_or_pilot_discussed,next_action,follow_up_date,close_reason,notes,main_objection,requested_changes
Clínica Dental Los Leones Providencia,Clínica dental,Providencia,+56 9 6295 9256,,NEW,"Por validar: alto volumen de consultas y coordinación de horas",BOOKING + FAQ,,"Visita presencial y demo de 5 minutos",,,"Guardia Vieja 255 Of. 1111; abierta hoy 08:30-19:00",,
Clínica Dental Carmona y Asociados,Clínica dental,Providencia,+56 9 7864 0636,,NEW,"Por validar: llamadas de evaluación y agendamiento",BOOKING + FAQ,,"Visita presencial y demo de 5 minutos",,,"Av. Los Leones 780; abierta hoy 09:00-19:30",,
Dr. Ariel Santiago - Odontología Digital,Clínica dental,Providencia,+56 9 5119 3379,,NEW,"Por validar: consultas repetitivas y agenda",BOOKING + FAQ,,"Visita presencial antes de las 13:00",,,"Av. Los Leones 220 Of. 405; hoy 09:00-13:00",,
CPH Salud Providencia,Clínica dental,Providencia,+56 9 7585 6664,,NEW,"Por validar: WhatsApp y coordinación de evaluaciones",BOOKING + FAQ,,"Visita presencial y mostrar automatización de preguntas + agenda",,,"Mardoqueo Fernández 128 Of. 203; lunes-jueves 09:30-18:00",,
GO Providencia,Clínica dental,Providencia,+56 9 6833 9941,,NEW,"Por validar: agenda y consultas de especialidades",BOOKING + FAQ,,"Visita presencial y demo aplicada a primera evaluación",,,"General del Canto 105 Of. 310; lunes-viernes 09:00-18:00",,
Guapisima Spa,Estética,Providencia,+56 9 9349 1883,,NEW,"Por validar: consultas de tratamientos y coordinación de citas",BOOKING + FAQ,,"Visita presencial y demo de reserva/reprogramación",,,"Av. Luis Thayer Ojeda 073 Of. 705; abierta hoy 10:00-20:00",,
OpenClinic Pro,Estética y dental,Providencia,+56 9 4924 3682,,NEW,"Por validar: evaluación virtual, WhatsApp y agendamiento",BOOKING + LEAD + FAQ,,"Visita presencial y demo de evaluación + agenda",,,"Av. Antonio Varas 175 Of. 408; lunes-viernes 10:00-19:30",,
ConsigueTuCasa,Inmobiliaria,Providencia,+56 2 3250 9964,,NEW,"Por validar: alto volumen de consultas de propiedades y seguimiento",LEAD + BOOKING + FAQ,,"Visita presencial y demo de captura de lead",,,"Av. Providencia 1208 Of. 1107; abierta hoy 09:00-17:30",,
Mecanimóvil,Taller mecánico,Providencia,+56 9 9594 5258,,NEW,"Por validar: consultas de diagnóstico, cotización y coordinación",QUOTE + BOOKING + REQUEST,,"Visita presencial y demo de solicitud/cotización",,,"Antonio Bellet 193; abierta hoy 09:00-18:00",,
CutMe Peluquerías Providencia,Peluquería,Providencia,+56 2 2234 1211,,NEW,"Por validar: llamadas durante atención y reservas",BOOKING + FAQ,,"Visita presencial y demo de reserva/reprogramación",,,"Av. Providencia 2314; abierta hoy 10:00-19:00",,
CVI LOS LEONES,Clínica veterinaria,Providencia,+56 9 2637 2860,,NEW,"Por validar: coordinación de consultas, urgencias, exámenes y peluquería por WhatsApp",BOOKING + FAQ + REQUEST,,"Contacto inicial por canal público y ofrecer demo aplicada a agenda veterinaria",,,"Av. Los Leones 2108; atiende consultas y coordina horas por WhatsApp",,
Moncadent,Clínica dental y estética facial,Providencia,+56 9 8132 1810,,NEW,"Por validar: orientación de pacientes por WhatsApp y reserva de evaluaciones",BOOKING + FAQ + LEAD,,"Contacto inicial por canal público y ofrecer demo de orientación + agenda",,,"Av. Nueva Providencia 1881 Of. 1219; agenda online y orientación por WhatsApp",,
Clinica Dent Smile,Clínica dental,Providencia,+56 9 3483 1300,,NEW,"Por validar: consultas de tratamientos y coordinación de horas",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de 5 minutos",,,"Av. Hernando de Aguirre 201 Of. 601",,
Clínica Balance Facial,Estética y dental,Providencia,+56 9 5836 0407,,NEW,"Por validar: alto volumen de preguntas sobre tratamientos y citas",BOOKING + FAQ + LEAD,,"Contacto inicial por canal público y ofrecer demo de tratamientos + agenda",,,"Centro de estética en Providencia; atención con reserva recomendada",,
Peluqueria Ricciarelli,Peluquería,Providencia,+56 9 6154 9418,,NEW,"Por validar: reservas mientras el equipo está atendiendo clientes",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de reserva/reprogramación",,,"Av. Providencia 1072 Of. 1504",,
Oz Barbería Providencia,Barbería,Providencia,+56 9 4432 7904,,NEW,"Por validar: coordinación de horas y preguntas repetitivas durante atención",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de agenda",,,"Av. Providencia 2093 Piso 7",,
Barberia flowstudio,Barbería,Providencia,+56 9 7691 0239,,NEW,"Por validar: reservas y consultas mientras los barberos están ocupados",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de agenda",,,"Av. Providencia 2594 Local 005",,
Centro de Estética Cejas y Encanto,Estética,Providencia,+56 9 3126 6925,,NEW,"Por validar: preguntas sobre servicios y disponibilidad de citas",BOOKING + FAQ + LEAD,,"Contacto inicial por canal público y ofrecer demo de consulta + reserva",,,"Av. Providencia 2594",,
Peluqueria Santiago Barberia local 34,Barbería,Providencia,+56 9 7138 3209,,NEW,"Por validar: atención telefónica y reservas durante servicios",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de agenda",,,"Av. Providencia 2562 Local 34",,
Barbería Eleven,Barbería,Providencia,+56 9 4799 7276,,NEW,"Por validar: coordinación de reservas y consultas de servicios",BOOKING + FAQ,,"Contacto inicial por canal público y ofrecer demo de agenda",,,"Suecia 9, Providencia",,
